Seq,텍스트,이미지
10021,나만의 공간이 있어야 아이는 스스로 인생을 개척해 간다고 합니다. 마음이 편안해지는 포인트 벽지를 이용해 아이 방을 꾸며 보세요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668076412979_0.jpg
10023,산본 래미안 하이어스 34평 입니다. 방 3개 욕실 2개의 구조입니다. 거실 발코니 확정해서 더욱 넓은 공간으로 만들었습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668068985307_0.jpg
10023,'가족과 제일 많은 시간을 보내는 공간' 밝은 화이트와 우물 천장으로 공간을 넓어보이게 리모델링 했습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668069018454_0.jpg
10023,'편리하고 쾌적한 공간의 키친' 움직이는 동선과 쾌적한 공간을 고민하여 만든 공간입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668069028831_0.jpg
10024,"현관에서 나오면 바로 나타나는 복도는 웨인스코팅과 벽패널을 연속적으로 배치하여 갤러리에 온듯한 느낌을 연출하였고, 미술작품을 복도 끝쪽 벽에 세워서 연출하여 우아하며서도 무심한듯 세련된 스타일로 연출 하였습니다. # 웨인스코팅은 일반적으로 목공에서 시공하며, 추가로 도장 작업도 가능합니다. 몰딩의 종류와 몰딩의 배치 간격, 높이, 형태 등을 디테일하게 설정한 뒤 시공해야 예쁘게 시공이 가능합니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/24/1669255408274_0.jpg
10024,안방은 골드 컬러의 무늬 벽지와 커튼! 한샘의 클래식 하면서도 심플한 스타일의 유로클래식 붙박이장을 사용하여 고급스러운 분위기를 연출하고 수납력 또한 확보하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/24/1669262040331_0.jpg
10026,"호캉스 , 우리에겐 너무나도 익숙해져버린 단어입니다. 단어만 들어도 벌써 힐링이 되는 느낌인데요. 이 삶을 일상생활에 적용한다면 어떨까요? 생각만해도 출퇴근길이 행복할 것만 같습니다. #호텔에삶 #래미안영통마크원2단지아파트 #34D 지금부터 소개해드릴게요 :)",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668086722925_0.jpg
10026,"[ 복도 ] 안방앞에서 바라본 복도쪽의 모습입니다. 천장쪽의 주백색 간접조명 만 켰을떄를 연출한 모습인데요, 소파에 앉아 커피를 마시면 자연스럽게 힐링이 될 것만 같아요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668086060794_0.jpg
10026,"[ 주방 ] 주거공간에 수납이 빠지면 많이 서운합니다. 팬트리장과 기존의 벽면이었듯이 냉장고장이 함께 배치되는 수납으로 설계하여 수납공간 은 늘려주고, 기존의 본주방과는 공간을 살짝 분리 해주었어요 :)",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668087233556_0.jpg
10026,"[ 아이방 ] 직접 가구를 옮기며 자신의 공간을 만들어나가고 싶어할 우리 아이들의 방은 붙박이제품이 아닌, 가구로 배치해주었어요. 청소년기에 접어들어 수납의 니즈가 더 중요해지고, 학업에 더욱 집중해야 할 시기에는 #한샘 빌트인 수납 시리즈 로 완성도 있는 공간을 설계해드릴게요 :)",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668087457041_0.jpg
