Seq,Title,Cost,Style,TagList,apply_space
10056,아빠도 공부하는 우리 집,3천만원대,모던,"거실전면빌트인장,거실에서도수납,공부하기좋은거실,서재같은거실,넓은주방,넓은주방리모델링,넓은화이트주방,ㄷ자형주방제안,ㄷ자형주방꿀팁,ㄷ자형주방,ㄷ자형화이트주방,넓은조리공간,다용도실활용,가전제품보관,똑똑한책상,스마트책상,학생책상추천,집중이잘되는,공부가잘되는책상,목욕이즐거운,헥사곤타일욕실,모던욕실,스칸디블랙,한샘바스,밀란바스,밀란3연동중문,3연동중문,먼지차단,외풍차단,현관중문인테리어,베이지톤소파,따듯한분위기소파,서재같은거실,공부하기좋은거실,아이디s,아이디s단독,좁은방책상,오픈형드레스룸,오픙형행거,옷장거울,외풍차단,먼지차단,외풍차단,먼지차단,슬림중문,좁은현관활용,유로604,유로604침대,프랜치화이트,부부침실세트,톤다운욕실,차분한모던욕실,고급스러운포인트,파우더장옷장,ㅡ자빌트인장,실속있는화장대,실속있는옷장,프랜치화이트,유로604,효율적인공간,좁은방인테리어,좁은아이방꾸미기,h형책상,아이방h형책상","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0007,spa_0011,spa_9999"
10057,아이가 밝게 자라는 우리집,3천만원대,모던,"거실AV장,밀란303거실장,깔끔한첫인상,현관첫인상,복도식현관중문,등교장대신붙박이장,따뜻한거실,햇살이잘드는,채광좋은,바흐드레스룸,빠른외출준비,많은옷보관,모자정리,바흐드레스룸,빠른외출준비,출근준비꿀팁,바흐드레스룸,시계보관,넥타이보관,발코니꾸미기,폴딩도어,발코니홈카페,독서하기좋은,복도식현관인테리어,복도식현관벤치장,빌트인벤치장,색다른욕실,스칸디블랙,밀란바스,넓은욕조,아이들과목욕,스마트한책상,초등학생책상,조이s매직데스크,조이s책상,실용적인화장대,똑똑한화장대,아이를위한식탁,좁은주방리모델링,아이와함께,미끄럼방지,아이가안전한욕실,아이와함께다이닝,상차림용이,아이와함께침실,필로우아기침대,아기침대,여유로운발코니,나만의공간,발코니1인소파,옐로우포인트,초등학생방,초등학생방인테리어,매직데스크,조이매직데스크,초등학생책상,스마트책상,좁은주방꾸미기,좁은주방리모델링,화이트톤주방,주방팬던트조명,다이닝포인트,아이와함께하는식사,짧은동선활용,아이와함께하는식사,채광좋은거실,패밀리침대,안심이되는침실,아이와함께잠들기,낮잠자기좋은,한샘듀이소파,밀란디오테이블,채광좋은거실","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0002,spa_0003,spa_0007,spa_0004,spa_0011,spa_9999"
10058,"모던,심플하게 변신한 30평대 아파트!",6천만원대,모던,"복도,서재,투톤,일자주방","spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0007,spa_0011"
1006,"평창동 단독주택, 다른 느낌의 두 개의 주방디자인",2천만원대,모던,,spa_0008
10064,서천마을 쌍용예가 34평 모던 화이트&우드 인테리어,5천만원대,모던,,"spa_0008,spa_0001,spa_0006,spa_0010,spa_0003,spa_0005,spa_0011,spa_9999"
10068,"35평, 40평형 때처럼 히든공간 알뜰하게 사용하기 ",6천만원대,모던,,"spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0007,spa_0011"
1007,북유럽풍의 클래식한 화이트 인테리어,1천만원대,모던,,spa_0010
10070,인스타 갬성 한샘에서도 가능합니다~!,7천만원 이상,모던,,"spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0007,spa_0011,spa_9999"
10072,야탑 타워빌 46평형 리모델링,7천만원 이상,모던,"3인치매입등,타워빌,야탑,3인치조명,거실등,매입등,타워빌,야탑,46평,47평,인테리어,타워빌,야탑,복도조명,3인치,거실조명,타워빌,야탑,마루,안방,타워빌,붙박이장,46평,인테리어,야탑,타워빌,46평,인테리어,주방,47평,야탑,타워빌,주방,야탑,타워빌,주방,야탑,타워빌,46평,주방,야탑,타워빌,47평,중문,조명,46평,47평,타워빌,침실,인테리어,야탑,타워빌,46평,타워빌,야탑,인테리어,46평,타워빌,야탑,현관,중문,현관벽타일","spa_0001,spa_0009,spa_0002,spa_0011"
10073,1인가구 로망의 심플 화이트 &네이비 포인트 24평 안양 호계현대홈타운,4천만원대,모던,"거실인테리어,벽지,강마루,다운라이트,화이트,네이비,20평대,거실인테리어,벽지,화이트,강마루,거실인테리어,화이트인테리어,간접등,다운라이트,벽지,강마루,경기도,경기도인테리어,안양,안양호계현대홈타운,20평대인테리어,다이닝룸,주방인테리어,벽지,거실인테리어,강마루,샷시,창호,액자레일,안방인테리어,붙박이장,화이트,욕실인테리어,호텔식욕실,욕실인테리어,호텔식인테리어,이쁜욕실,화장실인테리어,한샘바스,주방인테리어,한샘,20평대,키친핏,주방인테리어,화이트,키친핏,강마루,다이닝룸,침실인테리어,여닫이장,슬라이딩장,다운라이트,화이트인테리어,침실인테리어,화이트,붙박이장,슬라이딩장,미닫이장,강마루,키친,주방인테리어,한샘,수퍼플랫화이트,싱크대,현관인테리어,3연동중문,모루유리,현관인테리어,3연동중문,중문인테리어,행잉형,신발장,행잉형신발장,다운라이트,현관인테리어,현관타일","spa_0008,spa_0001,spa_0009,spa_0010,spa_0002,spa_0007,spa_0011,spa_9999"
